question,answer,chunk_id,topic,dataset_type
Regina Willoughbyと娘のMelinaが共に所属しているバレエ団の名前と、二人の現在の状況について教えてください。,二人はColumbia City Balletに所属しています。Reginaにとっては同団での現役最後のシーズンであり、18歳の娘Melinaにとってはトレイニー（実習生）としての最初のシーズンにあたります。親子が同じカンパニーで同時に活動するのは、この1シーズン限りとなります。,cc_news_1per_chunks_chunk_0,Columbia City Ballet,cc_news_1per_chunks
Regina Willoughbyの引退時期と、娘のMelinaのキャリアにおける節目について教えてください。,40歳のReginaは、2018年3月に舞台からの引退を予定しています。一方、娘のMelinaは母が引退するこのシーズンにトレイニーとしてプロのキャリアをスタートさせました。母の引退と娘のデビューが重なる、非常に珍しいキャリアの節目となっています。,cc_news_1per_chunks_chunk_0,Career milestones,cc_news_1per_chunks
演目『くるみ割り人形』において、ReginaとMelinaはそれぞれどのような役で共演していますか？,Reginaは「雪の女王（Snow Queen）」を演じ、Melinaは「雪の精（snow corps）」として出演しています。また、二人は共に「アラビアの踊り（Arabian divertissement）」のシーンにも登場しており、同じ舞台上で同時にパフォーマンスを披露しています。,cc_news_1per_chunks_chunk_0,The Nutcracker roles,cc_news_1per_chunks
自身の最終シーズンに娘と同じ舞台に立つことについて、Reginaはどのように述べていますか？,Reginaは娘と一緒に踊ることを「非常に不思議な感覚（very surreal）」だと語っています。彼女自身、娘のMelinaがバレエをこれほど本格的に継続し、自分と同じプロの舞台に立つまでになるとは予想していなかったため、この共演を感慨深く受け止めています。,cc_news_1per_chunks_chunk_0,Shared season,cc_news_1per_chunks
ニューヨーク・シティ・バレエ団（NYCB）の暫定リーダーシップチームの構成員とリーダーは誰ですか？,暫定チームは計4名で構成され、バレエ・マスターで元プリンシパル・ダンサーのジョナサン・スタッフォードがリーダーを務めます。他のメンバーには、レジデント・コレオグラファーのジャスティン・ペック、およびバレエ・マスターのクレイグ・ホールとレベッカ・クローンの2名（共に元ダンサー）が選出されています。,cc_news_1per_chunks_chunk_1,暫定チームの構成,cc_news_1per_chunks
ピーター・マーティンズが休職に至った理由と、その背景について教えてください。,マーティンズ氏は、自身に向けられたセクシュアル・ハラスメントの告発に関する内部調査をバレエ団が行っている間、自ら一時的な休職を申し出ました。この休職は、ニューヨーク・シティ・バレエ団（NYCB）とスクール・オブ・アメリカン・バレエの両組織が対象となっています。,cc_news_1per_chunks_chunk_1,休職理由と調査,cc_news_1per_chunks
新しく任命された暫定チームには、具体的にどのような職務権限が割り当てられていますか？,暫定チームは、バレエ団の芸術面における日常的なニーズを管理する責任を負っています。具体的には、公演のスケジュール作成、出演者のキャスティング、およびリハーサルの指導・実施といった、芸術部門の運営に関わる広範な職務権限が割り当てられています。,cc_news_1per_chunks_chunk_1,暫定チームの職務権限,cc_news_1per_chunks
暫定チームの強みとして期待されている点と、一方で懸念されている課題は何ですか？,強みはメンバー全員が組織内部に精通している点であり、ダンサーたちの移行期間を支える一助になると期待されています。一方で、メンバーにリーダーシップの経験が乏しいことが懸念点として挙げられていますが、直前まで現役ダンサーだったレベッカ・クローンなどの存在が現場との橋渡し役になると見られています。,cc_news_1per_chunks_chunk_1,チームの強みと懸念,cc_news_1per_chunks
Pennsylvania BalletとBoston Balletが、スーパーボウルに関連したパフォーマンスを披露した背景は何ですか？,フィラデルフィア・イーグルスとニューイングランド・ペイトリオッツの対戦を祝し、それぞれの地元のチームを応援するために企画されました。両バレエ団のダンサーたちは、通常の稽古を一時中断してスーパーボウルをテーマにした特別な振り付けを披露し、フットボールの祭典を盛り上げました。,cc_news_1per_chunks_chunk_2,パフォーマンスの背景,cc_news_1per_chunks
Pennsylvania Balletによるパフォーマンスの具体的な内容や、振り付けの特徴を教えてください。,イーグルスのチームカラーである緑色の衣装を着用し、フェッテ・ターンや打点の高いジャンプを多用したスピード感あふれるルーチンを披露しました。また、チーム名である「イーグルス（鳥）」にちなんで、バレエの「スワン・アーム（白鳥の腕）」の動きを振り付けに取り入れているのが大きな特徴です。,cc_news_1per_chunks_chunk_2,PABのパフォーマンス特徴,cc_news_1per_chunks
Boston Balletのパフォーマンスに出演しているダンサーと、その振付にはどのような特徴がありますか？,プリンシパルのポール・クレイグとソロイストのデレク・ダンが出演しています。振付には、ジョージ・バランシンの作品『放蕩息子（Prodigal Son）』の小道具を用いた「バランシン・トリック」が取り入れられており、過去5回の優勝経験を持つチームを擁する地域らしい、趣向を凝らした内容となっています。,cc_news_1per_chunks_chunk_2,Boston Balletの出演と振付,cc_news_1per_chunks
Só Dançaの新コレクションは、どことコラボレーションして制作されましたか？,この新しいコレクションは、Broadway Dance Center（BDC）とのコラボレーションにより誕生しました。ミュージカル界の著名なプロフェッショナルたちも参加しており、プロが認める汎用性とサポート力を備えたオーディションにも最適なシューズです。,cc_news_1per_chunks_chunk_3,BDCコラボレーション,cc_news_1per_chunks
シューズのバリエーションにはどのような選択肢がありますか？,このシューズは2種類の異なるスタイルで展開されています。また、ヒールの高さは2.5インチ、または3インチの2つのオプションから選ぶことができ、個人のニーズや用途に合わせた選択が可能です。,cc_news_1per_chunks_chunk_3,製品バリエーション,cc_news_1per_chunks
ダンス中の安定感を高めるために、どのような設計上の特徴がありますか？,ヒールが体の真下（中心）に位置するように配置されているのが特徴です。この技術的な工夫により、重心を捉えやすく安定感が増すため、ダンサーは自信を持ってパフォーマンスを行うことができます。,cc_news_1per_chunks_chunk_3,技術的特徴（安定性）,cc_news_1per_chunks
レベッカ・クローンの引退公演の日程と、そこで披露される演目について教えてください。,レベッカ・クローンの引退公演は今週の土曜日の夜に行われます。彼女はアマール・ラマサールと共にストラヴィンスキーの「ヴァイオリン・コンチェルト（Stravinsky Violin Concerto）」を踊り、ニューヨーク・シティ・バレエ（NYCB）での最後の舞台を飾ります。,cc_news_1per_chunks_chunk_4,引退公演と演目,cc_news_1per_chunks
ニューヨーク・シティ・バレエ（NYCB）におけるレベッカ・クローンのキャリアの歩みを教えてください。,1998年の秋にアプレンティス（見習い）としてNYCBに入団しました。その後、着実に昇進を重ね、入団から14年後の2012年に最高位であるプリンシパルに昇格しました。彼女にとって、同カンパニーへの入団はプロを志した時からの夢でした。,cc_news_1per_chunks_chunk_4,キャリアの歩み,cc_news_1per_chunks
レベッカ・クローンのレパートリーにはどのような特徴がありますか？,バランシンのクラシックなレオタード・バレエを完璧にこなすことで最もよく知られていますが、レパートリーは非常に広範です。ジェローム・ロビンズからジャスティン・ペックまで、多様な振付家の作品を踊りこなす幅広いスタイルを持っています。,cc_news_1per_chunks_chunk_4,レパートリーとスタイル,cc_news_1per_chunks
引退後の新たな役割と、彼女がプロになるまでの修行背景について教えてください。,引退後の月曜日からは、バレエマスターとして新たなキャリアをスタートさせます。彼女は14歳の時にスクール・オブ・アメリカン・バレエで訓練を受けるためにニューヨークへ移り、17歳でNYCBの見習いとなって夢を叶えました。,cc_news_1per_chunks_chunk_4,引退後の役割と背景,cc_news_1per_chunks
