question,answer,chunk_id,topic,dataset_type
Regina WilloughbyのColumbia City Balletでの最後のシーズンはどのようなものですか？,Regina WilloughbyにとってColumbia City Balletでの最後のシーズンは、引退の時期と娘Melinaの入団が重なり、親子で同じ舞台を共有する特別なシーズンです。,cc_news_1per_chunk_0,引退と最終シーズン,cc_news_1per_chunks
Melina WilloughbyはColumbia City Balletでどのようにキャリアを始めましたか？,18歳のMelina Willoughbyは、このシーズンがColumbia City Balletでの初シーズンで、トレーニーとしてキャリアを始めました。,cc_news_1per_chunk_0,初シーズン,cc_news_1per_chunks
The NutcrackerではReginaとMelinaはそれぞれどの役を踊っていますか？,同じ『The Nutcracker』で同時に出演しており、ReginaはSnow Queen、Melinaはsnow corpsを務め、さらに2人ともArabian divertissementにも出ています。,cc_news_1per_chunk_0,役割分担,cc_news_1per_chunks
親子で同じ舞台に立つことについてReginaはどうコメントしていますか？,Reginaは「一緒に踊るのはとても現実離れしている」と語り、Melinaがバレエをここまで続けるとは思っていなかったとも話しています。,cc_news_1per_chunk_0,Reginaのコメント,cc_news_1per_chunks
New York City Balletは、誰が率いる暫定リーダーシップ体制を発表したのですか？,NYCB理事会は、芸術面を運営する暫定チームを発表しました。チームはバレエ・マスター兼元プリンシパルのジョナサン・スタッフォードが率います。,cc_news_1per_chunk_1,暫定体制,cc_news_1per_chunks
Peter Martinsはなぜ休職しているのですか？,Peter Martinsは、NYCBとSchool of American Balletの両方から一時休職を申し出ました。彼をめぐる性的嫌がらせ疑惑について、内部調査が行われているためです。,cc_news_1per_chunk_1,休職と調査,cc_news_1per_chunks
NYCBの暫定チームは誰で構成されていますか？,暫定チームは4人で、ジョナサン・スタッフォード、レジデント・コレオグラファー兼ソリストのジャスティン・ペック、バレエ・マスターのクレイグ・ホールとレベッカ・クローンです。,cc_news_1per_chunk_1,チーム構成,cc_news_1per_chunks
暫定チームの役割と任期はどうなっていますか？,チームは日々の芸術面の運営を担い、スケジュール、配役、リハーサルの指揮を担当します。ただし、任期の長さはまだ発表されていません。,cc_news_1per_chunk_1,役割と任期,cc_news_1per_chunks
ペンシルベニア・バレエとボストン・バレエは、スーパーボウルに向けて何をしたのですか？,両バレエ団は通常のリハーサルを一時中断し、ゲームデーを祝ってスーパーボウルを意識した振付を披露しました。,cc_news_1per_chunk_2,スーパーボウル演目,cc_news_1per_chunks
ペンシルベニア・バレエの演目は、イーグルスをどう意識していましたか？,イーグルスの緑の衣装で、フェッテ回転や高いジャンプ、そして“鳥”にちなんだ白鳥の腕の動きを取り入れた、速いテンポのルーティンでした。,cc_news_1per_chunk_2,イーグルス演目,cc_news_1per_chunks
ボストン・バレエのFacebook動画には、誰が出演していましたか？,ボストン・バレエはFacebookで動画を公開し、プリンシパルのポール・クレイグとソリストのデレク・ダンが出演しました。,cc_news_1per_chunk_2,Facebook動画,cc_news_1per_chunks
ボストン・バレエは『プロディガル・サン』の小道具を使って、どんな演出をしましたか？,『プロディガル・サン』の小道具を使い、バランシン風の要素を加えた演出をしました。,cc_news_1per_chunk_2,バランシン風演出,cc_news_1per_chunks
この文では、フットボールを楽しむ方法について何と言っていますか？,「これは正式に、フットボールの楽しみ方として私たちのお気に入りの新しい方法です」と述べています。,cc_news_1per_chunk_3,football fun,cc_news_1per_chunks
