question,answer,chunk_id,topic,dataset_type
Regina Willoughbyの引退と、Columbia City Balletでの最後のシーズンについて教えてください。,Regina Willoughbyは40歳で、3月に舞台を引退します。Columbia City Balletでの最後のシーズンは、娘Melinaの初シーズンと重なっています。,cc_news_1per_chunk_0,引退,cc_news_1per_chunks
娘のMelina Willoughbyは、Columbia City Balletでどのようにキャリアを始めたのですか？,18歳のMelina Willoughbyは、Columbia City Balletで初シーズンを迎え、トレーニーとしてキャリアを始めました。,cc_news_1per_chunk_0,初シーズン,cc_news_1per_chunks
『The Nutcracker』では、ReginaとMelinaはそれぞれどんな役割で同時出演していましたか？,同じ『The Nutcracker』で同時に出演し、ReginaはSnow Queen、Melinaはsnow corpsを務めました。さらに、2人ともArabian divertissementにも出ています。,cc_news_1per_chunk_0,役割分担,cc_news_1per_chunks
親子で同じ舞台に立つことについて、Reginaはどう感じていましたか？,Reginaは「一緒に踊るのはとても不思議」と語り、Melinaがバレエをここまで続けるとは思っていなかったと話しています。,cc_news_1per_chunk_0,親子共演,cc_news_1per_chunks
NYCBの暫定リーダーシップチームは何のために発表されたのですか？,バレエ・マスター・イン・チーフのピーター・マーティンスが休職している間、NYCBの芸術面を運営するために発表されました。,cc_news_1per_chunk_1,暫定体制,cc_news_1per_chunks
Peter Martinsはなぜ休職したのですか？,NYCBとSchool of American Balletの両方から一時休職を申し出ており、彼に向けられたセクシュアルハラスメント疑惑に関する内部調査が進行中だからです。,cc_news_1per_chunk_1,休職理由,cc_news_1per_chunks
暫定リーダーシップチームのメンバーは誰ですか？,バレエ・マスターのJonathan Staffordを中心に、NYCBのレジデント・コレオグラファー兼ソリストのJustin Peck、バレエ・マスターのCraig HallとRebecca Krohnの4人です。,cc_news_1per_chunk_1,チーム構成,cc_news_1per_chunks
各メンバーはNYCBとどのような関係がありますか？,Staffordは元プリンシパル・ダンサー、Peckは現レジデント・コレオグラファー兼ソリスト、HallとKrohnは元ダンサーです。Krohnは舞台を離れて新役職に就いてから2か月しか経っていません。,cc_news_1per_chunk_1,経歴関係,cc_news_1per_chunks
暫定チームの担当業務と任期はどうなっていますか？,日々の芸術面の業務として、スケジューリング、キャスティング、リハーサルの পরিচাল পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? পরিচাল? conducting rehearsals を担当します。任期の長さはまだ発表されていません。,cc_news_1per_chunk_1,担当業務,cc_news_1per_chunks
Pennsylvania BalletとBoston BalletはSuper Bowl向けにどんなパフォーマンスをしましたか？,両バレエ団は、通常のリハーサルを一時中断して、ゲームデーを祝うためのSuper Bowlテーマの振付を披露しました。,cc_news_1per_chunk_2,Super Bowl演出,cc_news_1per_chunks
Pennsylvania BalletのPhiladelphia Eaglesをテーマにした演出内容は何ですか？,Eaglesグリーンの衣装で、fouetté turns、空高く跳ぶジャンプ、そして白鳥の腕の動きを取り入れた、テンポの速いルーティンでした。,cc_news_1per_chunk_2,Eagles演出,cc_news_1per_chunks
Boston BalletのSuper Bowl関連動画には誰が出演していましたか？,Facebookで公開した動画には、プリンシパルのPaul CraigとソリストのDerek Dunnが出演していました。,cc_news_1per_chunk_2,出演者,cc_news_1per_chunks
Boston BalletはProdigal Sonの小道具を使って何を加えましたか？,Prodigal Sonの小道具を使うことで、Balanchine風の要素を動画に加えました。,cc_news_1per_chunk_2,Balanchine要素,cc_news_1per_chunks
この文では、何が「公式に新しいお気に入りの方法」と言われていますか？,フットボールを楽しむための新しい方法が、公式に「私たちのお気に入りの方法」だと言われています。,cc_news_1per_chunk_3,football fun,cc_news_1per_chunks
